ticker,date,open,high,low,close,adj_close,volume
AAPL,2023-01-03,128.2237854341601,128.83399514878522,122.21021915687207,123.09601593017578,123.09601593017578,112117500
AAPL,2023-01-04,124.88729543343348,126.62936374107429,123.10586505340991,124.36566162109375,124.36566162109375,89113600
AAPL,2023-01-05,125.12351256937882,125.75341088924934,122.79092293482029,123.04681396484375,123.04681396484375,80962700
AAPL,2023-01-06,124.02117217456781,128.2336117453076,122.91884655664052,127.57418823242188,127.57418823242188,87754700
AAPL,2023-01-09,128.4108124086458,131.30441322455866,127.83996466106093,128.09585571289062,128.09585571289062,70790800
AAPL,2023-01-10,128.20408860626057,129.1883055110105,126.09786503081405,128.6666717529297,128.6666717529297,63896200
AAPL,2023-01-11,129.17849644752224,131.402821722743,128.40097153395064,131.38314819335938,131.38314819335938,69458900
AAPL,2023-01-12,131.76698078856714,132.14097304777255,129.36548883237654,131.3043975830078,131.3043975830078,71379600
AAPL,2023-01-13,129.9461488585014,132.7905349401524,129.5819934315568,132.633056640625,132.633056640625,57809700
AAPL,2023-01-17,132.70195234994011,135.12311725700644,132.01300359662682,133.79443359375,133.79443359375,63646600
AAPL,2023-01-18,134.6605787592018,136.42232060237055,132.8988218980733,133.07598876953125,133.07598876953125,69672800
AAPL,2023-01-19,131.96380450388668,134.09955338686564,131.65869966602656,133.13502502441406,133.13502502441406,58280400
AAPL,2023-01-20,133.14486670992753,135.84162653742413,132.1015991542997,135.69398498535156,135.69398498535156,80223600
AAPL,2023-01-23,135.94005904305521,141.0579999020067,135.72353008280908,138.88287353515625,138.88287353515625,81760300
AAPL,2023-01-24,138.0954784443646,140.90050277108796,138.08564168128757,140.2804412841797,140.2804412841797,66435100
AAPL,2023-01-25,138.6663409653264,140.18202862963406,136.61916767862735,139.62103271484375,139.62103271484375,65799300
AAPL,2023-01-26,140.91037200424128,141.97332836189656,139.6604119793185,141.6879119873047,141.6879119873047,54105100
AAPL,2023-01-27,140.90048495518886,144.90623964304373,140.82174580665185,143.6267547607422,143.6267547607422,70555800
AAPL,2023-01-30,142.67209860282117,143.2527830109075,140.59540019505755,140.74302673339844,140.74302673339844,64015300
AAPL,2023-01-31,140.4477633640219,142.06187864867766,140.03439402480078,142.01266479492188,142.01266479492188,65874500
AAPL,2023-02-01,141.69774073810188,144.29607334830789,139.08957136310852,143.1346893310547,143.1346893310547,77663600
AAPL,2023-02-02,146.54991104174482,148.79392468833726,145.83143680858885,148.4396209716797,148.4396209716797,118339000
AAPL,2023-02-03,145.69363837431163,154.8960731461596,145.4967979818679,152.0615234375,152.0615234375,154357300
AAPL,2023-02-06,150.1620046015634,150.6836384438328,148.40024764766747,149.3352508544922,149.3352508544922,69858300
AAPL,2023-02-07,148.26246234257331,152.7800151967711,148.26246234257331,152.20916748046875,152.20916748046875,83322600
AAPL,2023-02-08,151.45133472995892,152.14028370808583,148.7840997356859,149.5222625732422,149.5222625732422,64120100
AAPL,2023-02-09,151.3529059605557,151.89422837459855,148.0459358705389,148.48883056640625,148.48883056640625,56007100
AAPL,2023-02-10,147.32567733632254,149.17882019931434,147.08909918660703,148.85353088378906,148.85353088378906,57450700
AAPL,2023-02-13,148.79440338379132,152.05713357186568,148.76483299254943,151.6529998779297,151.6529998779297,62199000
AAPL,2023-02-14,149.94767374239032,151.57412024796835,148.70567235340334,151.0122528076172,151.0122528076172,61707600
AAPL,2023-02-15,150.92357800911904,153.2794480234058,150.69686663828347,153.11187744140625,153.11187744140625,65573800
AAPL,2023-02-16,151.31784339392544,154.09758049199988,151.16013965459408,151.51499938964844,151.51499938964844,68167900
AAPL,2023-02-17,150.17441057100683,150.81512239489066,148.69583093968438,150.37155151367188,150.37155151367188,59144100
AAPL,2023-02-21,148.05510409777494,149.1394018439348,146.29067235544917,146.3596649169922,146.3596649169922,58867200
