ticker,date,open,high,low,close,adj_close,volume
AAPL,2026-01-20,252.72999572753906,254.7899932861328,243.4199981689453,246.6999969482422,246.46937561035156,80267500
AAPL,2026-01-21,248.6999969482422,251.55999755859375,245.17999267578125,247.64999389648438,247.41848754882812,54641700
AAPL,2026-01-22,249.1999969482422,251.0,248.14999389648438,248.35000610351562,248.1178436279297,39708300
AAPL,2026-01-23,247.32000732421875,249.41000366210938,244.67999267578125,248.0399932861328,247.80812072753906,41689000
AAPL,2026-01-26,251.47999572753906,256.55999755859375,249.8000030517578,255.41000366210938,255.17123413085938,55969200
AAPL,2026-01-27,259.1700134277344,261.95001220703125,258.2099914550781,258.2699890136719,258.0285339355469,49648300
AAPL,2026-01-28,257.6499938964844,258.8599853515625,254.50999450683594,256.44000244140625,256.2002868652344,41288000
AAPL,2026-01-29,258.0,259.6499938964844,254.41000366210938,258.2799987792969,258.0385437011719,67253000
AAPL,2026-01-30,255.1699981689453,261.8999938964844,252.17999267578125,259.4800109863281,259.2374267578125,92443400
AAPL,2026-02-02,260.0299987792969,270.489990234375,259.2099914550781,270.010009765625,269.7575988769531,73913400
AAPL,2026-02-03,269.20001220703125,271.8800048828125,267.6099853515625,269.4800109863281,269.22808837890625,64394700
AAPL,2026-02-04,272.2900085449219,278.95001220703125,272.2900085449219,276.489990234375,276.23150634765625,90545700
AAPL,2026-02-05,278.1300048828125,279.5,273.2300109863281,275.9100036621094,275.6520690917969,52977400
AAPL,2026-02-06,277.1199951171875,280.9100036621094,276.92999267578125,278.1199951171875,277.8599853515625,50453400
AAPL,2026-02-09,277.9100036621094,278.20001220703125,271.70001220703125,274.6199951171875,274.6199951171875,44562300
NVDA,2026-01-20,181.89999389648438,182.3800048828125,177.61000061035156,178.07000732421875,178.07000732421875,223345300
NVDA,2026-01-21,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,183.32000732421875,200381000
NVDA,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789062,184.83999633789062,139636600
NVDA,2026-01-23,187.5,189.60000610351562,186.82000732421875,187.6699981689453,187.6699981689453,142748100
NVDA,2026-01-26,187.16000366210938,189.1199951171875,185.99000549316406,186.47000122070312,186.47000122070312,124799600
NVDA,2026-01-27,187.24000549316406,190.0,185.6999969482422,188.52000427246094,188.52000427246094,143711600
NVDA,2026-01-28,191.27000427246094,192.35000610351562,189.83999633789062,191.52000427246094,191.52000427246094,148552700
NVDA,2026-01-29,191.33999633789062,193.47999572753906,186.05999755859375,192.50999450683594,192.50999450683594,171764400
NVDA,2026-01-30,191.2100067138672,194.49000549316406,189.47000122070312,191.1300048828125,191.1300048828125,179489500
NVDA,2026-02-02,187.1999969482422,190.3000030517578,184.8800048828125,185.61000061035156,185.61000061035156,165794100
NVDA,2026-02-03,186.24000549316406,186.27000427246094,176.22999572753906,180.33999633789062,180.33999633789062,204019600
NVDA,2026-02-04,179.4600067138672,179.5800018310547,171.91000366210938,174.19000244140625,174.19000244140625,207014100
NVDA,2026-02-05,174.92999267578125,176.82000732421875,171.02999877929688,171.8800048828125,171.8800048828125,206312900
NVDA,2026-02-06,176.69000244140625,187.0,174.60000610351562,185.41000366210938,185.41000366210938,231346200
NVDA,2026-02-09,184.25999450683594,193.66000366210938,183.9499969482422,190.0399932861328,190.0399932861328,196085800
